"","student_id","course_id","timestamp","url","assignment_id","quiz_id","discussion_id","web_application_action","web_application_controller","course_name","title.disc","posted_at","message","title.assig","due_at","scoring_policy","name","quiz_type","canvas_id2"
"24","D",10987,"2024-08-22 11:34:08","/courses/10987/assignments/444",444,NA,NA,"show","assignments","Metaphysics",NA,NA,NA,"Essay on the immortality of the soul","2024-03-27 23:59:59",NA,NA,NA,NA
"25","D",10987,"2024-08-26 12:21:05","/courses/10987/discussion_topics/2356",NA,NA,2356,"create","discussion_topics","Metaphysics","CAN SOMEONE HELP ME?","2024-08-20 23:59:59","I am so confused about the homework! Why is the metaphysics professors (great guy btw) asking us if metaphysics is real? Would anyone sign up for a course if they don't believe the subject actually exist? Coule this be a trick question? I really need to pass this otherwise I need to move back with my parents and that is unnaceptable",NA,NA,NA,NA,NA,NA
"26","D",10987,"2024-08-28 05:21:05","/courses/10987/discussion_topics/2356",NA,NA,2356,"create","discussion_topics","Metaphysics","CAN SOMEONE HELP ME?","2024-08-20 23:59:59","I am so confused about the homework! Why is the metaphysics professors (great guy btw) asking us if metaphysics is real? Would anyone sign up for a course if they don't believe the subject actually exist? Coule this be a trick question? I really need to pass this otherwise I need to move back with my parents and that is unnaceptable",NA,NA,NA,NA,NA,NA
"27","D",10456,"2024-08-25 13:20:04","/courses/10456/assignments/444/submissions",444,NA,NA,"create","submissions","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A",10456,"2024-07-20 12:39:20","/api/v1/courses/10456/front_page",NA,NA,NA,"show_front_page","wiki_pages_api","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","D",10456,"2024-08-27 13:24:05","/N",NA,NA,NA,"show","courses","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","D",10456,"2024-08-27 13:24:12","/courses/10456/files/3542376",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","D",10456,"2024-08-27 13:24:10","/courses/10456",NA,NA,NA,"show","courses","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D",10456,"2024-08-27 13:25:00","/courses/10456/files/3542376",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","D",10456,"2024-08-27 13:25:00","/N",NA,NA,NA,"ping","courses","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","D",10456,"2024-08-29 13:25:00","/courses/10456/files/3542375",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","D",10456,"2024-08-29 13:25:02","/courses/10456/files/3542375",NA,NA,NA,"show","files","Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA
